Year,Units,Time series,COMMENT_OBS_0,Type of area,Federal state,GeoCode,Value
2016,Hectares per day,Moving four-year average,,,Lower Saxony,code03,8.0
2017,Hectares per day,Moving four-year average,,,Lower Saxony,code03,7.0
2018,Hectares per day,Moving four-year average,,,Lower Saxony,code03,6.0
2019,Hectares per day,Moving four-year average,,,Lower Saxony,code03,5.0
2020,Hectares per day,Moving four-year average,,,Lower Saxony,code03,7.0
2021,Hectares per day,Moving four-year average,,,Lower Saxony,code03,6.0
2022,Hectares per day,Moving four-year average,,,Lower Saxony,code03,6.0
2023,Hectares per day,Moving four-year average,…,,Lower Saxony,code03,
2030,Hectares per day,Moving four-year average,…,,Lower Saxony,code03,
1996,Hectares per day,Moving four-year average,,,North Rhine-Westphalia,code05,16.0
1997,Hectares per day,Moving four-year average,,,North Rhine-Westphalia,code05,
1998,Hectares per day,Moving four-year average,,,North Rhine-Westphalia,code05,
1999,Hectares per day,Moving four-year average,,,North Rhine-Westphalia,code05,
2000,Hectares per day,Moving four-year average,,,North Rhine-Westphalia,code05,17.0
2001,Hectares per day,Moving four-year average,.,,North Rhine-Westphalia,code05,
2002,Hectares per day,Moving four-year average,.,,North Rhine-Westphalia,code05,
2003,Hectares per day,Moving four-year average,.,,North Rhine-Westphalia,code05,
2004,Hectares per day,Moving four-year average,,,North Rhine-Westphalia,code05,15.0
2005,Hectares per day,Moving four-year average,,,North Rhine-Westphalia,code05,15.0
2006,Hectares per day,Moving four-year average,,,North Rhine-Westphalia,code05,14.0
2007,Hectares per day,Moving four-year average,,,North Rhine-Westphalia,code05,15.0
2008,Hectares per day,Moving four-year average,,,North Rhine-Westphalia,code05,14.0
2009,Hectares per day,Moving four-year average,,,North Rhine-Westphalia,code05,13.0
2010,Hectares per day,Moving four-year average,,,North Rhine-Westphalia,code05,13.0
2011,Hectares per day,Moving four-year average,,,North Rhine-Westphalia,code05,11.0
2012,Hectares per day,Moving four-year average,,,North Rhine-Westphalia,code05,10.0
2013,Hectares per day,Moving four-year average,,,North Rhine-Westphalia,code05,10.0
2014,Hectares per day,Moving four-year average,,,North Rhine-Westphalia,code05,10.0
2015,Hectares per day,Moving four-year average,,,North Rhine-Westphalia,code05,10.0
2016,Hectares per day,Moving four-year average,.,,North Rhine-Westphalia,code05,
2017,Hectares per day,Moving four-year average,.,,North Rhine-Westphalia,code05,
2018,Hectares per day,Moving four-year average,.,,North Rhine-Westphalia,code05,
2019,Hectares per day,Moving four-year average,.,,North Rhine-Westphalia,code05,
2020,Hectares per day,Moving four-year average,.,,North Rhine-Westphalia,code05,
2021,Hectares per day,Moving four-year average,,,North Rhine-Westphalia,code05,6.0
2022,Hectares per day,Moving four-year average,,,North Rhine-Westphalia,code05,6.0
2023,Hectares per day,Moving four-year average,…,,North Rhine-Westphalia,code05,
2030,Hectares per day,Moving four-year average,…,,North Rhine-Westphalia,code05,
